,Submitted Date,Year,Make,Model,County,ZIP,EV Type,Transaction Type,Reduction_CO2,Reduction_Petroleum,Rebate Amount (USD)
834,04/11/2018,2018,Chevrolet,Bolt,Westchester,10536,BEV,Lease,3.07,592.89,2000
835,07/20/2018,2018,Chevrolet,Bolt,Tompkins,14850,BEV,Purchase,3.07,592.89,2000
836,07/31/2018,2018,Chevrolet,Bolt,Ulster,12561,BEV,Lease,3.07,592.89,2000
837,07/17/2018,2018,Chevrolet,Bolt,Nassau,11566,BEV,Lease,3.07,592.89,2000
838,08/20/2018,2018,Chevrolet,Bolt,St. Lawrence,13672,BEV,Lease,3.07,592.89,2000
839,05/17/2018,2018,Chevrolet,Bolt,Erie,14206,BEV,Purchase,3.07,592.89,2000
840,07/26/2018,2018,Chevrolet,Bolt,Suffolk,11743,BEV,Purchase,3.07,592.89,2000
841,06/04/2018,2018,Chevrolet,Bolt,Nassau,11801,BEV,Purchase,3.07,592.89,2000
842,06/20/2019,2019,Chevrolet,Bolt,Monroe,14615,BEV,Purchase,3.07,592.89,2000
846,09/30/2017,2017,Chevrolet,Bolt,Tompkins,14850,BEV,Purchase,3.07,592.89,2000
847,04/07/2017,2017,Chevrolet,Bolt,Westchester,10536,BEV,Lease,3.07,592.89,2000
848,04/21/2017,2017,Chevrolet,Bolt,Westchester,10707,BEV,Lease,3.07,592.89,2000
849,04/13/2017,2017,Chevrolet,Bolt,Suffolk,11784,BEV,Purchase,3.07,592.89,2000
850,08/09/2017,2017,Chevrolet,Bolt,Suffolk,11743,BEV,Purchase,3.07,592.89,2000
851,10/31/2017,2017,Chevrolet,Bolt,Kings,11213,BEV,Lease,3.07,592.89,2000
852,08/09/2017,2017,Chevrolet,Bolt,Suffolk,11740,BEV,Purchase,3.07,592.89,2000
853,01/09/2018,2018,Chevrolet,Bolt,Nassau,11021,BEV,Purchase,3.07,592.89,2000
854,08/09/2017,2017,Chevrolet,Bolt,Monroe,14610,BEV,Lease,3.07,592.89,2000
855,05/09/2017,2017,Chevrolet,Bolt,Nassau,11563,BEV,Lease,3.07,592.89,2000
856,01/12/2018,2018,Chevrolet,Bolt,Westchester,10708,BEV,Purchase,3.07,592.89,2000
857,11/16/2017,2017,Chevrolet,Bolt,Monroe,14534,BEV,Lease,3.07,592.89,2000
